PROJECT	timepoint	proj_max_capacity_factor
 296	412249	0.75
 296	412253	0.8
 296	412257	0.84
 296	412261	0.58
 296	412265	0.73
 296	412269	0.81
 296	412708	0.05
 296	412712	0.25
 296	412716	0.69
 296	412720	0.64
 296	412724	0.4
 296	412728	0.09
 296	499897	0.75
 296	499901	0.8
 296	499905	0.84
 296	499909	0.58
 296	499913	0.73
 296	499917	0.81
 296	500186	0.53
 296	500190	0.39
 296	500194	0.1
 296	500198	0.11
 296	500202	0.06
 296	500206	0.02
 296	587569	0.75
 296	587573	0.8
 296	587577	0.84
 296	587581	0.58
 296	587585	0.73
 296	587589	0.81
 296	587858	0.53
 296	587862	0.39
 296	587866	0.1
 296	587870	0.11
 296	587874	0.06
 296	587878	0.02
 297	324505	0.07
 297	324509	0.24
 297	324513	0.3
 297	324517	0.3
 297	324521	0.02
 297	324525	0
 297	325036	0.03
 297	325040	0.15
 297	325044	0.31
 297	325048	0
 297	325052	0
 297	325056	0
 297	412249	0.8
 297	412253	0.96
 297	412257	0.82
 297	412261	0.26
 297	412265	0
 297	412269	0
 297	412708	0.03
 297	412712	0.15
 297	412716	0.31
 297	412720	0
 297	412724	0
 297	412728	0
 297	499897	0.8
 297	499901	0.96
 297	499905	0.82
 297	499909	0.26
 297	499913	0
 297	499917	0
 297	500186	0
 297	500190	0.05
 297	500194	0
 297	500198	0
 297	500202	0.01
 297	500206	0
 297	587569	0.8
 297	587573	0.96
 297	587577	0.82
 297	587581	0.26
 297	587585	0
 297	587589	0
 297	587858	0
 297	587862	0.05
 297	587866	0
 297	587870	0
 297	587874	0.01
 297	587878	0
 298	324505	0.01
 298	324509	0.24
 298	324513	0.48
 298	324517	0.31
 298	324521	0.14
 298	324525	0.02
 298	325036	0.02
 298	325040	0
 298	325044	0.33
 298	325048	0.04
 298	325052	0.03
 298	325056	0
 298	412249	0.58
 298	412253	0.84
 298	412257	0.4
 298	412261	0.28
 298	412265	0.17
 298	412269	0
 298	412708	0.02
 298	412712	0
 298	412716	0.33
 298	412720	0.04
 298	412724	0.03
 298	412728	0
 298	499897	0.58
 298	499901	0.84
 298	499905	0.4
 298	499909	0.28
 298	499913	0.17
 298	499917	0
 298	500186	0.02
 298	500190	0.04
 298	500194	0
 298	500198	0
 298	500202	0.02
 298	500206	0.01
 298	587569	0.58
 298	587573	0.84
 298	587577	0.4
 298	587581	0.28
 298	587585	0.17
 298	587589	0
 298	587858	0.02
 298	587862	0.04
 298	587866	0
 298	587870	0
 298	587874	0.02
 298	587878	0.01
 299	324505	0.31
 299	324509	0.37
 299	324513	0.57
 299	324517	0.47
 299	324521	0.58
 299	324525	0.04
 299	325036	0
 299	325040	0.02
 299	325044	0.15
 299	325048	0.04
 299	325052	0
 299	325056	0
 299	412249	0.77
 299	412253	0.81
 299	412257	0.88
 299	412261	0.8
 299	412265	0.1
